CodigoUnico	Ruta	Descripcion
210214814	IMAGENES JAZZ\\HUDSON\\CREMA\\210214814.jpg	HUDSON PANQUEQUERA CERAMICO CREMA N°20
210210427	IMAGENES JAZZ\\HUDSON\\ALUM FORJ\\210210427.jpg	HUDSON JUEGO CACEROLAS X5 ALUM FORJ. NEG
210210434	IMAGENES JAZZ\\HUDSON\\ALUM FORJ\\210210434.jpg	HUDSON CACEROLA C/MGO N°18  ALUM FORJ NEG
210214784	IMAGENES JAZZ\\HUDSON\\CREMA\\210214784.jpg	HUDSON WOK N°28 CERAMICO CREMA
210210458	IMAGENES JAZZ\\HUDSON\\ALUM FORJ\\210210458.jpg	HUDSON CACEROLA N°24  ALUM FORJ NEGRO
210210465	IMAGENES JAZZ\\HUDSON\\ALUM FORJ\\210210458.jpg	HUDSON CACEROLA N°28  ALUM FORJ NEGRO
210218027	IMAGENES JAZZ\\HUDSON\\DAILY\\210218027.jpg	HUDSON DAILY SARTEN PROFUNDA N°24 C/T
210218003	IMAGENES JAZZ\\HUDSON\\DAILY\\210218003.jpg	HUDSON DAILY SARTEN N°26
112000112	IMAGENES JAZZ\\MANFER\\112000112.jpg	MANFER SERVILLETERO BAR ACERO INOX.
554578090	IMAGENES JAZZ\\BORMIOLI\\554578090.jpg	BORMIOLI ROCCO PERFORMA PLATO PLAYO 26cm
188701016	IMAGENES JAZZ\\ALUMINIO\\torte alta.jpeg	TORTERA ALUMINIO ALTA 10cm  RECTA Nº 16
188701018	IMAGENES JAZZ\\ALUMINIO\\torte alta.jpeg	TORTERA ALUMINIO ALTA 10cm  RECTA Nº 18
10023198731	IMAGENES JAZZ\\TRAMONTINA\\LEME\\10023198731.jpg	TRAMONTINA LEME Juego Cubiertos 24 Pz  Rojo
10023499025	IMAGENES JAZZ\\TRAMONTINA\\CARMEL\\10023499025.jpg	TRAMONTINA CARMEL Jgo. Cubiertos 24 Pz.Turquesa
10023420103	IMAGENES JAZZ\\TRAMONTINA\\CUCHILLAS COCINA\\10023420103.jpg	TRAMONTINA PLENUS Cuchillo Ac. Inox Legumbre 3"
1697032	IMAGENES JAZZ\\CLIKER\\1697032.jpg	CLIKER TAPA FRASCO MERMELADA CONDIMENTO
1697560	IMAGENES JAZZ\\CLIKER\\1697560.jpg	CLIKER BASE EXPANSIBLE APOYA TODO
348M22	IMAGENES JAZZ\\SAGRADA MADRE\\348M22.jpg	S. MADRE SAHUMERIO 7 CHAKRAS
348M5	IMAGENES JAZZ\\SAGRADA MADRE\\348M5.jpg	S. MADRE PORTA SAHUMERIO OM
020661054	IMAGENES JAZZ\\MOR BRASIL\\020661054.jpg	MOR TENDER SLIM BLANCO EPOXI  7 VAR C/ALAS
101T0376C	IMAGENES JAZZ\\LUMILAGRO\\101T0376C.jpg	LUMILAGRO TERMO ACERO LUMINOX 1LTS CAMUFL
10078503000	IMAGENES JAZZ\\TRAMONTINA\\JARDIN\\10078503000.jpg	TRAMONTINA CONECTOR ACOPLES RAPIDOS
172006255	IMAGENES JAZZ\\DILIT\\172006255.jpg	TUFFEX RESIDUO VAIVEN 5.5LTS TP625
172901233	IMAGENES JAZZ\\DILIT\\172901233.jpg	VOCE SET PARA BAÑO 2PCS ALESTA VC-123
172006187	IMAGENES JAZZ\\DILIT\\TUFFEX\\172006187.jpg	TUFFEX CEPILO BAÑO CON DEP. RATAN TP618
172901400	IMAGENES JAZZ\\DILIT\\172901400.jpeg	VOCE RESIDUO 4.2 LTS CON TAPA VC-140
1727512	IMAGENES JAZZ\\DILIT\\1727512.jpeg	VH BOTELLA INFANTIL C/TAPA Y SORBETE
1723050100	IMAGENES JAZZ\\DILIT\\172100.jpeg	VH SALERO COLOR MIX TAPA PLATA 150ml
172006224	IMAGENES JAZZ\\DILIT\\TUFFEX\\172006224.jpg	TUFFEX CANASTO RATAN ASAS MADERA TP622
172006057	IMAGENES JAZZ\\DILIT\\172006057.jpg	TUFFEX CESTO ROPA 60LTS ASAS MADERA TP605
172006064	IMAGENES JAZZ\\DILIT\\TUFFEX\\172006064.jpg	TUFFEX CANASTO 30LTS ASA MADERA TP606
465203332	IMAGENES JAZZ\\AAVARIOS\\465203332.jpg	COMPOTERA CUADRADA PLASTICA HZ
465113327	IMAGENES JAZZ\\AAVARIOS\\465113327.jpg	PLATO PLAYO CUADRADO PLASTICO 26cm HZ
309090424	IMAGENES JAZZ\\BH\\309090424.jpg	JOURNEY VASO/MATE NEAT CON TAPA 236ml
1410141	IMAGENES JAZZ\\DESESPLAST\\1410141.jpg	DESES PLAST MATE TERMICO C/BOMBILLA METAL
000123559	IMAGENES JAZZ\\NAJAL\\000123559.jpg	CUCHARA DOSIFICADORA ACERO INOX. 20cm
139000084	IMAGENES JAZZ\\MATRIPLASTER\\139000084.jpg	MATRIPLASTER JARRA 2LTS APILABLE
207733204	IMAGENES JAZZ\\LOZAFER\\207733204.jpg	LOZAFER PROVOLETERA ENLOZADA 14cm 2 ASAS
348M1980	IMAGENES JAZZ\\SAGRADA MADRE\\348M1980.jpg	S. MADRE SAHUMERIO EN POLVO
306561174	IMAGENES JAZZ\\BEAUTYHOME\\306561174.jpg	BEAUTY HOME COMPOTERA DUBAI
306560467	IMAGENES JAZZ\\BEAUTYHOME\\306560467.jpg	BEAUTY HOME ESPECIERO FLOTANTE X3 GRANDE
10020264622	IMAGENES JAZZ\\TRAMONTINA\\TEFLON\\turim\\10020264622.jpg	TRAMONTINA TURIM Negro Panquequera 22cm
10063940110	IMAGENES JAZZ\\TRAMONTINA\\ATHENAS\\10063940110.jpg	TRAMONTINA ATHENAS CUCHARA AZUCAR X12
900144137	IMAGENES JAZZ\\EMANUEL\\900144137.jpg	IE MATE ACERO CON BOMBILLA
900901614	IMAGENES JAZZ\\EMANUEL\\900901614.jpg	MAXDAY PILA RECARGABLE AA X2
900901607	IMAGENES JAZZ\\EMANUEL\\900901607.jpg	MAXDAY PILA RECARGABLE AAA X2
900123205	IMAGENES JAZZ\\EMANUEL\\900210223.jpg	BOTELLA DEPORTIVA ENGOMADA SPORT 500ml
900656550	IMAGENES JAZZ\\EMANUEL\\900656550.jpg	KANSON TERMO ACERO CAFE 473ml
